Bachelor / Master;Campus;Dual;Fachbereich;Semester;Semester YoY T/F;Stand;Stand Semester Auswahl;Stand Semester Auswahl YoY (Kopie);Studiengang;Studiengang (Gruppe);Studienort;Winter / Sommer;Ausländische Studierende;Gesamtstudierende;Gesamtstudierende Semester Auswahl;Gesamtstudierende Semester Auswahl YoY;Studienanfängerinnen und Studienanfänger (1. FS);Studienanfängerinnen und Studienanfänger (1. HS);Studierende in der Regelstudienzeit;Weibliche Studierende
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Wintersemester;4;71;;;13;11;61;18
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Sommersemester;27;89;;;29;19;74;23
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Sommersemester;35;87;;;9;7;70;23
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Wintersemester;30;86;;;20;18;70;28
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Sommersemester;16;68;;;7;4;53;22
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Wintersemester;8;54;;54;8;6;43;15
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Wintersemester;31;93;;;21;15;77;25
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Wintersemester;7;47;47;;5;3;38;12
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Wintersemester;0;1;1;;1;1;1;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Sommersemester;0;1;;;0;0;1;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Wintersemester;0;2;;;1;1;2;1
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Sommersemester;0;2;;;0;0;2;1
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Sommersemester;0;2;;;1;0;1;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Wintersemester;0;1;;1;0;0;1;0
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Sommersemester;5;16;;;0;0;8;4
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Sommersemester;8;38;;;2;0;24;10
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Wintersemester;8;43;;;10;0;27;11
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Sommersemester;7;34;;;3;0;19;8
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Sommersemester;8;33;;;3;0;14;7
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Wintersemester;9;31;;;4;0;10;9
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Sommersemester;10;31;;;5;0;14;9
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Wintersemester;6;30;;30;6;0;13;6
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Wintersemester;7;32;;;4;0;13;5
Master;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Umweltorientierte Energietechnik;Umweltorientierte Energietechnik;Birkenfeld;Wintersemester;4;13;13;;0;0;5;2
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Sommersemester;4;28;;;6;2;20;15
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Sommersemester;26;29;;;3;2;14;14
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Wintersemester;0;41;;;15;0;29;26
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Sommersemester;1;41;;;8;0;28;26
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Sommersemester;3;41;;;15;0;22;29
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Wintersemester;3;32;;;3;0;17;21
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Sommersemester;3;30;;;5;0;19;22
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Wintersemester;3;32;;32;9;0;17;22
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Wintersemester;1;34;;;4;0;19;23
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Unternehmensrecht und Energierecht;Unternehmensrecht und Energierecht;Birkenfeld;Wintersemester;2;27;27;;5;0;17;12
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Sommersemester;3;93;;;8;3;50;58
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Sommersemester;20;236;;;23;5;158;144
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Wintersemester;22;226;;;33;25;163;139
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Sommersemester;20;208;;;17;4;136;124
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Sommersemester;18;163;;;16;2;96;87
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Wintersemester;13;141;;;18;9;86;79
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Sommersemester;11;129;;;12;4;71;73
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Wintersemester;7;114;;114;13;2;60;66
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Wintersemester;17;181;;;23;9;126;103
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Wirtschafts- und Umweltrecht;Wirtschafts- und Umweltrecht;Birkenfeld;Wintersemester;2;84;84;;18;5;52;51
Bachelor;Hauptcampus; ;Wirtschaft;Sommersemester 2020;Falsch;02.06.2020;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;34;166;;;0;0;104;35
Bachelor;Hauptcampus; ;Wirtschaft;Wintersemester 2020/2021;Falsch;30.11.2020;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;39;165;;;26;19;95;30
Bachelor;Hauptcampus; ;Wirtschaft;Sommersemester 2021;Falsch;02.06.2021;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;47;168;;;14;7;108;32
Bachelor;Hauptcampus; ;Wirtschaft;Sommersemester 2022;Falsch;31.05.2022;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;53;163;;;9;6;102;32
Bachelor;Hauptcampus; ;Wirtschaft;Wintersemester 2022/2023;Falsch;30.11.2022;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;56;169;;;29;20;102;35
Bachelor;Hauptcampus; ;Wirtschaft;Sommersemester 2023;Falsch;31.05.2023;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;61;166;;;20;11;110;38
Bachelor;Hauptcampus; ;Wirtschaft;Wintersemester 2023/2024;Wahr;30.11.2023;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;82;197;;197;48;30;130;43
Bachelor;Hauptcampus; ;Wirtschaft;Wintersemester 2021/2022;Falsch;30.11.2021;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;51;171;;;32;23;102;31
Bachelor;Hauptcampus; ;Wirtschaft;Sommersemester 2024;Falsch;31.05.2024;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;96;207;;;30;12;146;47
Bachelor;Hauptcampus; ;Wirtschaft;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;102;229;229;;47;37;163;54
Bachelor;Hauptcampus;dual;Wirtschaft;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;0;7;7;;2;2;6;0
Master;Hauptcampus; ;Informatik;Sommersemester 2020;Falsch;02.06.2020;;;Wirtschaftsinformatik - Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Sommersemester;1;29;;;7;0;19;4
Master;Hauptcampus; ;Informatik;Sommersemester 2022;Falsch;31.05.2022;;;Wirtschaftsinformatik - Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Sommersemester;4;35;;;2;0;20;4
Master;Hauptcampus; ;Informatik;Wintersemester 2022/2023;Falsch;30.11.2022;;;Wirtschaftsinformatik - Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Wintersemester;3;28;;;0;0;9;2
Master;Hauptcampus; ;Informatik;Sommersemester 2023;Falsch;31.05.2023;;;Wirtschaftsinformatik - Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Sommersemester;2;20;;;0;0;5;1
Master;Hauptcampus; ;Informatik;Wintersemester 2023/2024;Wahr;30.11.2023;;;Wirtschaftsinformatik - Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Wintersemester;1;12;;12;0;0;1;0
Master;Hauptcampus; ;Informatik;Sommersemester 2024;Falsch;31.05.2024;;;Wirtschaftsinformatik - Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Sommersemester;1;7;;;0;0;0;0
Master;Hauptcampus; ;Informatik;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Wirtschaftsinformatik - Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Wintersemester;1;4;4;;0;0;0;0
Bachelor;Hauptcampus;dual;Wirtschaft;Sommersemester 2020;Falsch;02.06.2020;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;0;3;;;0;0;3;1
Bachelor;Hauptcampus;dual;Wirtschaft;Wintersemester 2020/2021;Falsch;30.11.2020;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;1;5;;;1;1;5;1
Bachelor;Hauptcampus;dual;Wirtschaft;Sommersemester 2021;Falsch;02.06.2021;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;1;5;;;0;0;5;1
Bachelor;Hauptcampus;dual;Wirtschaft;Sommersemester 2022;Falsch;31.05.2022;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;1;7;;;1;1;6;1
Bachelor;Hauptcampus;dual;Wirtschaft;Wintersemester 2022/2023;Falsch;30.11.2022;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;0;5;;;0;0;3;0
Bachelor;Hauptcampus;dual;Wirtschaft;Sommersemester 2023;Falsch;31.05.2023;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;0;4;;;0;0;3;0
Bachelor;Hauptcampus;dual;Wirtschaft;Wintersemester 2023/2024;Wahr;30.11.2023;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;0;5;;5;2;2;4;0
Bachelor;Hauptcampus;dual;Wirtschaft;Wintersemester 2021/2022;Falsch;30.11.2021;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Wintersemester;1;6;;;1;1;5;1
Bachelor;Hauptcampus;dual;Wirtschaft;Sommersemester 2024;Falsch;31.05.2024;;;Wirtschaftsinformatik;Wirtschaftsinformatik;Trier;Sommersemester;0;6;;;1;0;5;0
Master;Hauptcampus; ;Informatik;Wintersemester 2020/2021;Falsch;30.11.2020;;;Wirtschaftsinformatik-Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Wintersemester;5;36;;;12;0;28;7
Master;Hauptcampus; ;Informatik;Sommersemester 2021;Falsch;02.06.2021;;;Wirtschaftsinformatik-Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Sommersemester;5;37;;;7;0;30;7
Master;Hauptcampus; ;Informatik;Wintersemester 2021/2022;Falsch;30.11.2021;;;Wirtschaftsinformatik-Informationsmanagement;Wirtschaftsinformatik - Informationsmanagement;Trier;Wintersemester;7;40;;;4;0;27;8
Bachelor;Hauptcampus; ;Technik;Sommersemester 2020;Falsch;02.06.2020;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;5;80;;;2;1;49;10
Master;Hauptcampus; ;Technik;Sommersemester 2020;Falsch;02.06.2020;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;2;31;;;5;0;25;6
Bachelor;Hauptcampus; ;Technik;Wintersemester 2020/2021;Falsch;30.11.2020;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;5;82;;;20;16;51;8
Master;Hauptcampus; ;Technik;Wintersemester 2020/2021;Falsch;30.11.2020;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;2;45;;;16;0;29;11
Bachelor;Hauptcampus; ;Technik;Sommersemester 2021;Falsch;02.06.2021;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;4;73;;;1;1;47;7
Master;Hauptcampus; ;Technik;Sommersemester 2021;Falsch;02.06.2021;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;2;38;;;8;0;33;8
Bachelor;Hauptcampus; ;Technik;Sommersemester 2022;Falsch;31.05.2022;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;3;58;;;2;2;36;7
Master;Hauptcampus; ;Technik;Sommersemester 2022;Falsch;31.05.2022;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;1;36;;;4;0;31;6
Bachelor;Hauptcampus; ;Technik;Wintersemester 2022/2023;Falsch;30.11.2022;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;4;68;;;17;14;37;8
Master;Hauptcampus; ;Technik;Wintersemester 2022/2023;Falsch;30.11.2022;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;1;37;;;2;0;17;6
Bachelor;Hauptcampus; ;Technik;Sommersemester 2023;Falsch;31.05.2023;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;5;59;;;0;1;34;9
Master;Hauptcampus; ;Technik;Sommersemester 2023;Falsch;31.05.2023;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;1;27;;;2;0;10;6
Bachelor;Hauptcampus; ;Technik;Wintersemester 2023/2024;Wahr;30.11.2023;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;8;63;;63;15;13;34;10
Master;Hauptcampus; ;Technik;Wintersemester 2023/2024;Wahr;30.11.2023;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;2;21;;21;2;0;7;5
Bachelor;Hauptcampus; ;Technik;Sommersemester 2024;Falsch;31.05.2024;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;10;55;;;4;4;31;8
Bachelor;Hauptcampus; ;Technik;Wintersemester 2021/2022;Falsch;30.11.2021;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;5;66;;;14;13;40;7
Master;Hauptcampus; ;Technik;Wintersemester 2021/2022;Falsch;30.11.2021;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;1;39;;;7;0;32;7
Master;Hauptcampus; ;Technik;Sommersemester 2024;Falsch;31.05.2024;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;2;23;;;5;0;10;6
Bachelor;Hauptcampus; ;Technik;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;9;54;54;;14;14;32;11
Bachelor;Hauptcampus;dual;Technik;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;0;2;2;;0;0;1;0
Master;Hauptcampus; ;Technik;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;1;18;18;;4;0;9;4
Bachelor;Hauptcampus;dual;Technik;Sommersemester 2020;Falsch;02.06.2020;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;0;1;;;0;0;1;1
Bachelor;Hauptcampus;dual;Technik;Wintersemester 2020/2021;Falsch;30.11.2020;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;0;1;;;0;0;1;1
Bachelor;Hauptcampus;dual;Technik;Sommersemester 2021;Falsch;02.06.2021;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;0;1;;;0;0;1;1
Bachelor;Hauptcampus;dual;Technik;Sommersemester 2022;Falsch;31.05.2022;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;0;1;;;0;0;1;0
Bachelor;Hauptcampus;dual;Technik;Wintersemester 2022/2023;Falsch;30.11.2022;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;0;2;;;1;0;2;0
Bachelor;Hauptcampus;dual;Technik;Sommersemester 2023;Falsch;31.05.2023;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;0;2;;;0;0;2;0
Bachelor;Hauptcampus;dual;Technik;Wintersemester 2023/2024;Wahr;30.11.2023;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;0;2;;2;0;0;2;0
Bachelor;Hauptcampus;dual;Technik;Wintersemester 2021/2022;Falsch;30.11.2021;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Wintersemester;0;2;;;1;0;1;1
Bachelor;Hauptcampus;dual;Technik;Sommersemester 2024;Falsch;31.05.2024;;;Wirtschaftsingenieurwesen;Wirtschaftsingenieurwesen;Trier;Sommersemester;0;2;;;0;0;2;0
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Sommersemester;8;52;;;3;1;27;17
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Sommersemester;18;107;;;12;4;82;34
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Wintersemester;15;97;;;13;10;67;30
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Sommersemester;17;97;;;11;6;68;28
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Sommersemester;22;75;;;7;5;43;18
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Wintersemester;21;65;;;10;8;34;17
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Sommersemester;15;61;;;12;6;33;14
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Wintersemester;12;58;;58;11;10;31;15
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Wintersemester;20;99;;;19;12;62;28
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Wirtschaftsingenieurwesen / Umweltplanung;Wirtschaftsingenieurwesen / Umweltplanung;Birkenfeld;Wintersemester;9;51;51;;7;5;24;17
Bachelor;Hauptcampus; ;Technik;Sommersemester 2020;Falsch;02.06.2020;;;Wirtschaftsingenieurwesen Elektrotechnik;Wirtschaftsingenieurwesen Elektrotechnik;Trier;Sommersemester;8;29;;;0;0;14;13
